Standardized_Contract,Contract_Type,Group_Name,Exchange_Name,Abbreviated_Name,Country,Region,Year,Month,Report_Year_Month,Volume,Open_Interest
INR/USD,Option,Currencies,"Singapore Exchange",SGX,Singapore,Asia,2017,7,2017-7,81,0
"Interbank Deposits SELIC",Future,"Interest Rates","Bolsa de Mercadorias & Futuros",BMF,Brazil,"Latin America",2017,7,2017-7,20000,20000
"Interest Rate Swap",Future,"Interest Rates","Bolsa de Mercadorias & Futuros",BMF,Brazil,"Latin America",2017,7,2017-7,17986,503179
"Interest Rate x Exchange Rate",Future,"Interest Rates","Bolsa de Mercadorias & Futuros",BMF,Brazil,"Latin America",2017,7,2017-7,18448,1635372
"Interest Rate x Price Index Swap",Future,"Interest Rates","Bolsa de Mercadorias & Futuros",BMF,Brazil,"Latin America",2017,7,2017-7,12,1026972
"Interest Rate x Reference Rate Swap",Future,"Interest Rates","Bolsa de Mercadorias & Futuros",BMF,Brazil,"Latin America",2017,7,2017-7,0,7200
"IOB DR Futures on Individual Equities",Future,Equity,"LSE Derivatives Market",LSEDM,"United Kingdom",Europe,2017,7,2017-7,74354,184766
"IOB DR Options on Individual Equities",Option,Equity,"LSE Derivatives Market",LSEDM,"United Kingdom",Europe,2017,7,2017-7,190771,700540
"IPC Stock Index",Future,Equity,"Mexican Derivatives Exchange",MEXDER,Mexico,"Latin America",2017,7,2017-7,35327,39633
"IPC Stock Index",Option,Equity,"Mexican Derivatives Exchange",MEXDER,Mexico,"Latin America",2017,7,2017-7,1752,3430
"IPD UK Quarterly All Property Index - Calendar Year Returns",Future,Other,Eurex,EUREX,Germany,Europe,2017,7,2017-7,0,1266
"Iron Ore",Future,Metals,"Dalian Commodity Exchange",DCE,China,Asia,2017,7,2017-7,29502280,1055805
"Iron Ore 62%",Future,Metals,"SGX Asiaclear","SGX ASIACLEAR",Singapore,Asia,2017,7,2017-7,1087542,517999
"Iron Ore 62% Fe, CFR China (TSI) (TIO)",Future,Metals,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,4483,18505
"Iron Ore 62% Fe, CFR China (TSI) Average Price (ICT)",Option,Metals,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,2880,13251
"Iron Ore 62% Fe, CFR North China (Platts) (PIO)",Future,Metals,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,4070,5652
"Iron Ore Lump Premium",Future,Metals,"SGX Asiaclear","SGX ASIACLEAR",Singapore,Asia,2017,7,2017-7,5805,3185
"ISE FX Brazilian Real (BRB)",Option,Currencies,OCC,OCC,"United States","North America",2017,7,2017-7,NULL,29
"ISE FX Canadian Dollar (CDD)",Option,Currencies,"International Securities Exchange",ISE,"United States","North America",2017,7,2017-7,2,NULL
"ISE FX Canadian Dollar (CDD)",Option,Currencies,OCC,OCC,"United States","North America",2017,7,2017-7,NULL,117
"ISE FX Euro (EUI)",Option,Currencies,OCC,OCC,"United States","North America",2017,7,2017-7,NULL,6
"ISE FX Mexican Peso (PZO)",Option,Currencies,OCC,OCC,"United States","North America",2017,7,2017-7,NULL,135
"ISE FX Spot EUR/USD (EUU)",Option,Currencies,"International Securities Exchange",ISE,"United States","North America",2017,7,2017-7,8,NULL
"ISE FX Spot EUR/USD (EUU)",Option,Currencies,OCC,OCC,"United States","North America",2017,7,2017-7,NULL,119
"ISE FX Spot GBP/USD (GBP)",Option,Currencies,OCC,OCC,"United States","North America",2017,7,2017-7,NULL,45
"ISE FX Spot NZD/USD (NDO)",Option,Currencies,OCC,OCC,"United States","North America",2017,7,2017-7,NULL,1
"ISE FX Yen (YUK)",Option,Currencies,"International Securities Exchange",ISE,"United States","North America",2017,7,2017-7,198,NULL
"ISE FX Yen (YUK)",Option,Currencies,OCC,OCC,"United States","North America",2017,7,2017-7,NULL,5486
"iShares Core FTSE 100 UCITS ETF (Dist)",Option,Equity,"Euronext Derivatives Market",EURONEXT,"United Kingdom",Europe,2017,7,2017-7,2,107
"iShares DAX® UCITS ETF (DE)",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,676,2733
"iShares Euro Stoxx 50 UCITS ETF",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,48972,37252
"iShares Euro Stoxx 50 UCITS ETF (Dist)",Option,Equity,"Euronext Derivatives Market",EURONEXT,"United Kingdom",Europe,2017,7,2017-7,1050,5416
"iShares Euro Stoxx 50 UCITS ETF (Dist) (Weekly)",Option,Equity,"Euronext Derivatives Market",EURONEXT,"United Kingdom",Europe,2017,7,2017-7,46,42
"iShares Euro Stoxx 50 UCITS ETF (EUNF)",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,0,21
"iShares MSCI Emerging Markets UCITS ETF (Dist)",Option,Equity,"Euronext Derivatives Market",EURONEXT,"United Kingdom",Europe,2017,7,2017-7,241,242
"iShares MSCI Emerging Markets UCITS ETF (Dist) (Weekly)",Option,Equity,"Euronext Derivatives Market",EURONEXT,"United Kingdom",Europe,2017,7,2017-7,4,4
"iShares MSCI Europe UCITS ETF (Dist)",Option,Equity,"Euronext Derivatives Market",EURONEXT,"United Kingdom",Europe,2017,7,2017-7,3,764
"iShares MSCI Japan EUR Hedged UCITS ETF",Option,Equity,"Euronext Derivatives Market",EURONEXT,"United Kingdom",Europe,2017,7,2017-7,8,228
"iShares MSCI World UCITS ETF (Dist)",Option,Equity,"Euronext Derivatives Market",EURONEXT,"United Kingdom",Europe,2017,7,2017-7,26,175
"iShares S&P 500 UCITS ETF (Dist)",Option,Equity,"Euronext Derivatives Market",EURONEXT,"United Kingdom",Europe,2017,7,2017-7,33,202
"ISO New England Connecticut Zone 5 MW Off-Peak Calendar-Month Day-Ahead LMP (P3)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,2401
"ISO New England Connecticut Zone 5 MW Peak Calendar-Month Day-Ahead LMP (P2)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,126
"ISO New England Mass Hub 5 MW Peak Calendar-Month Day-Ahead LMP (U6)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,690,42259
"ISO New England Mass Hub Day-Ahead Off-Peak Calendar-Day 5 MW (IDO)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,16704
"ISO New England Mass Hub Day-Ahead Off-Peak Calendar-Day 5 MW (NOC)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,22176
"ISO New England Mass Hub Day-Ahead Off-Peak Calendar-Month 5 MW (H2)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,587977
"ISO New England Mass Hub Day-Ahead Peak Calendar-Day 5 MW (CE)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,2236
"ISO New England Mass Hub Day-Ahead Peak Calendar-Month 2.5 MW (NI)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,102
"ISO New England Monthly Off Peak LMP Swap (KI)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,84
"ISO New England Rhode Island Zone 5 MW Off-Peak Calendar-Month Day-Ahead LMP (U5)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,12005
"ISO New England Rhode Island Zone 5 MW Peak Calendar-Month Day-Ahead LMP (U4)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,630
"ISO New England West Central Massachusetts Zone 5 MW Off-Peak Calendar-Month Day Ahead LMP (L9)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,4802
"ISO New England West Central Massachusetts Zone 5 MW Peak Calendar-Month Day-Ahead LMP (R6)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,252
"ISO-NE Massachusetts Hub Day-Ahead Off-Peak Financial (50 MWH) (NOPQ)",Future,Energy,"Nasdaq NFX",NFX,"United States","North America",2017,7,2017-7,0,14956
"ISO-NE Massachusetts Hub Day-Ahead Off-Peak Mini Financial (25 MWh) (NOLQ)",Future,Energy,"Nasdaq NFX",NFX,"United States","North America",2017,7,2017-7,4680,4680
"ISO-NE Massachusetts Hub Day-Ahead Off-Peak Mini Financial (5 MWH) (NOMQ)",Future,Energy,"Nasdaq NFX",NFX,"United States","North America",2017,7,2017-7,0,79448
"ISO-NE Massachusetts Hub Day-Ahead Peak Financial (50 MW) (NEPQ)",Future,Energy,"Nasdaq NFX",NFX,"United States","North America",2017,7,2017-7,0,958
"ISO-NE Massachusetts Hub Day-Ahead Peak Mini Financial (5 MW) (NMMQ)",Future,Energy,"Nasdaq NFX",NFX,"United States","North America",2017,7,2017-7,1275,6142
"Israeli Shekel/US Dollar",Future,Currencies,"ICE Futures U.S.",IFUS,"United States","North America",2017,7,2017-7,422,56
"iStoxx Europe Carry Factor Index (FXFC)",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,2277,618
"iStoxx Europe Low Risk Factor Index (FXFR)",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,42,634
"iStoxx Europe Momentum Factor Index (FXFM)",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,43,5327
"iStoxx Europe Quality Factor Index (FXFQ)",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,48,672
"iStoxx Europe Size Factor Index (FXFS)",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,34,2156
"iStoxx Europe Value Factor Index (FXFV)",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,5488,7629
"Italian PSV Natural Gas",Future,Energy,"ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,475,2095
"Japan 225",Option,Equity,"North American Derivative Exchange",NADEX,"United States","North America",2017,7,2017-7,7348,NULL
"Japan C&F Naphtha (Platts) (JA)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,894,1690
"Japan C&F Naphtha (Platts) Balance of the Month (E6)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,90,90
"Japan C&F Naphtha (Platts) Brent Crack Spread (JB)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,72,1931
"Japanese Yen",Future,Currencies,"Chicago Mercantile Exchange",CME,"United States","North America",2017,7,2017-7,2819809,241605
"Japanese yen",Future,Currencies,"Dubai Gold & Commodities Exchange",DGCX,"United Arab Emirates",Asia,2017,7,2017-7,5547,344
"Japanese Yen",Future,Currencies,"Korea Exchange",KRX,"South Korea",Asia,2017,7,2017-7,40602,12961
"Japanese Yen (European Style)",Option,Currencies,"Chicago Mercantile Exchange",CME,"United States","North America",2017,7,2017-7,40,23
"Japanese Yen/Indian Rupee",Future,Currencies,"National Stock Exchange of India",NSE,India,Asia,2017,7,2017-7,664706,21495
"Japanese Yen/US Dollar 12.5",Future,Currencies,"ICE Futures U.S.",IFUS,"United States","North America",2017,7,2017-7,554,221
Japanese/Rand,Future,Currencies,"JSE Securities Exchange",JSE,"South Africa",Other,2017,7,2017-7,63,6073
"Japonica Rice (JR)",Future,Agriculture,"Zhengzhou Commodity Exchange",ZCE,China,Asia,2017,7,2017-7,13,1
Jeera,Future,Agriculture,"National Commodity & Derivatives Exchange",NCDEX,India,Asia,2017,7,2017-7,69076,5596
"Jet Aviation Fuel Cargoes FOB MED (Platts) (1T)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,48
"Jet Aviation Fuel Cargoes FOB MED (Platts) vs. Low Sulphur Gasoil (1V)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,30
"Jet Cargoes CIF NWE (Platts) vs. Low Sulphur Gasoil (JC)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,129,560
"Jet Fuel Cargoes CIF NWE (Platts) vs. Low Sulphur Gasoil Balance of the Month (6X)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,42,42
"JPX-Nikkei Index 400",Future,Equity,"Japan Exchange",JPX,Japan,Asia,2017,7,2017-7,426019,193358
"JPY/Indian Rupee",Future,Currencies,"Metropolitan Stock Exchange of India",MSEI,India,Asia,2017,7,2017-7,15533,200
JPY/INR,Future,Currencies,BSE,"BSE India",India,Asia,2017,7,2017-7,64518,683
"JPY/USD Premium Quoted (European Style) – 2 PM Fix",Option,Currencies,"Chicago Mercantile Exchange",CME,"United States","North America",2017,7,2017-7,304275,139371
Kapas,Future,Agriculture,"National Commodity & Derivatives Exchange",NCDEX,India,Asia,2017,7,2017-7,64052,7632
"KBW Bank Index (BKX)",Option,Equity,"Nasdaq PHLX",PHLX,"United States","North America",2017,7,2017-7,8722,NULL
"KBW Bank Index (BKX)",Option,Equity,"NYSE Arca",ARCA,"United States","North America",2017,7,2017-7,2800,NULL
"KBW Bank Index (BKX)",Option,Equity,OCC,OCC,"United States","North America",2017,7,2017-7,NULL,14409
"KC Hard Red Winter Wheat",Future,Agriculture,"Chicago Board of Trade",CBOT,"United States","North America",2017,7,2017-7,1017432,270817
"KC Hard Red Winter Wheat",Option,Agriculture,"Chicago Board of Trade",CBOT,"United States","North America",2017,7,2017-7,53610,52847
"KCBT Wheat",Future,Agriculture,"JSE Securities Exchange",JSE,"South Africa",Other,2017,7,2017-7,88,60
"Kenyan Shilling/Rand (ZAKS)",Future,Currencies,"JSE Securities Exchange",JSE,"South Africa",Other,2017,7,2017-7,0,2527
Kerosene,Future,Energy,"Tokyo Commodity Exchange",TOCOM,Japan,Asia,2017,7,2017-7,19315,6291
"Kerosene (Barge Delivered)",Future,Energy,"Tokyo Commodity Exchange",TOCOM,Japan,Asia,2017,7,2017-7,627,0
"Kerosene (Lorry Delivered)",Future,Energy,"Tokyo Commodity Exchange",TOCOM,Japan,Asia,2017,7,2017-7,601,0
"KLSE Composite Index (FKLI)",Future,Equity,"Malaysia Derivatives Exchange",MDEX,Malaysia,Asia,2017,7,2017-7,157293,26342
"KLSE Composite Index (OKLI)",Option,Equity,"Malaysia Derivatives Exchange",MDEX,Malaysia,Asia,2017,7,2017-7,1504,729
"Korean Won",Future,Currencies,"Chicago Mercantile Exchange",CME,"United States","North America",2017,7,2017-7,6,27
"Kosdaq 150",Future,Equity,"Korea Exchange",KRX,"South Korea",Asia,2017,7,2017-7,123073,36873
"Kospi 200",Future,Equity,"Korea Exchange",KRX,"South Korea",Asia,2017,7,2017-7,3895391,346445
"Kospi 200",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,2819288,0
"Kospi 200",Option,Equity,"Korea Exchange",KRX,"South Korea",Asia,2017,7,2017-7,47918048,3100795
KRW/USD,Future,Currencies,"Singapore Exchange",SGX,Singapore,Asia,2017,7,2017-7,4536,932
"Late Rice (LR)",Future,Agriculture,"Zhengzhou Commodity Exchange",ZCE,China,Asia,2017,7,2017-7,72,6
Lead,Future,Metals,"Multi Commodity Exchange of India",MCX,India,Asia,2017,7,2017-7,316346,3094
Lead,Future,Metals,"Shanghai Futures Exchange",SHFE,China,Asia,2017,7,2017-7,824206,41448
"Lead TAPOS",Option,Metals,"London Metal Exchange",LME,"United Kingdom",Europe,2017,7,2017-7,4504,1504
"Lean Hog",Future,Agriculture,"Chicago Mercantile Exchange",CME,"United States","North America",2017,7,2017-7,981241,268508
"Lean Hog",Option,Agriculture,"Chicago Mercantile Exchange",CME,"United States","North America",2017,7,2017-7,189071,184619
"Light Sweet Crude Oil (WTI) Daily Physical (CD)",Option,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,2405,0
"Light Sweet Crude Oil (WTI) Financial 1 Month Spread (7A)",Option,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,28750,310718
"Light Sweet Crude Oil European Financial (LC)",Option,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,10570,57096
"Light Sweet Oil (Net Energy) Monthly Index (LSW)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,120
"Linear Low Density Polyethylene (LLDPE)",Future,Other,"Dalian Commodity Exchange",DCE,China,Asia,2017,7,2017-7,6462316,312360
"Live Cattle",Future,Agriculture,"Bolsa de Mercadorias & Futuros",BMF,Brazil,"Latin America",2017,7,2017-7,48477,6919
"Live Cattle",Future,Agriculture,"Chicago Mercantile Exchange",CME,"United States","North America",2017,7,2017-7,1487063,356231
"Live Cattle ",Option,Agriculture,"Bolsa de Mercadorias & Futuros",BMF,Brazil,"Latin America",2017,7,2017-7,34237,32117
"Live Cattle",Option,Agriculture,"Chicago Mercantile Exchange",CME,"United States","North America",2017,7,2017-7,179017,203419
"Live Cattle Calendar Spread",Option,Agriculture,"Chicago Mercantile Exchange",CME,"United States","North America",2017,7,2017-7,10,350
"LLS (Argus) vs. WTI Crude Oil Average Price (WJO)",Option,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,7375
"LLS (Argus) vs. WTI Financial (WJ)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,2438,19931
"LNG Gas",Future,Energy,"SGX Asiaclear","SGX ASIACLEAR",Singapore,Asia,2017,7,2017-7,20,60
"London Aluminium Mini",Future,Metals,"Hong Kong Exchanges and Clearing",HKEX,"Hong Kong",Asia,2017,7,2017-7,3,1
"London Copper Mini",Future,Metals,"Hong Kong Exchanges and Clearing",HKEX,"Hong Kong",Asia,2017,7,2017-7,17,20
"London Lead Mini",Future,Metals,"Hong Kong Exchanges and Clearing",HKEX,"Hong Kong",Asia,2017,7,2017-7,38,0
"London Nickel Mini",Future,Metals,"Hong Kong Exchanges and Clearing",HKEX,"Hong Kong",Asia,2017,7,2017-7,27,10
"London Zinc Mini",Future,Metals,"Hong Kong Exchanges and Clearing",HKEX,"Hong Kong",Asia,2017,7,2017-7,40,1
"Long Gilt",Future,"Interest Rates","ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,3261118,650793
"Long Term Bond",Future,"Interest Rates","Warsaw Stock Exchange",WSE,Poland,Europe,2017,7,2017-7,0,3
"LOOP Crude Oil Storage (LPS)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,5870,18435
"LOOP Gulf Coast Sour Crude Oil (MB)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,1700
"Los Angeles CARB Diesel (OPIS) vs. NY Harbor ULSD (KL)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,150,200
"Los Angeles CARBOB Gasoline (OPIS) vs. RBOB Gasoline (JL)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,325
"Los Angeles Jet (OPIS) vs. NY Harbor ULSD (JS)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,1035,2365
"Low Sulphur Gasoil Balance of the Month (U9)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,9,6
"Low Sulphur Gasoil Crack Spread (1000 MT) Financial (GOC)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,25,78
"Low Sulphur Gasoil Financial (GOQ)",Future,Energy,"Nasdaq NFX",NFX,"United States","North America",2017,7,2017-7,817136,1807
"Low Sulphur Gasoil Mini Financial (QA)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,23,331
Maize,Future,Agriculture,"National Commodity & Derivatives Exchange",NCDEX,India,Asia,2017,7,2017-7,6163,1461
"Malaysian Palm Oil Calendar Swap",Future,Agriculture,"Chicago Mercantile Exchange",CME,"United States","North America",2017,7,2017-7,5660,28030
"Mars (Argus) vs. WTI Financial (YX)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,5830,10549
"Mars (Argus) vs. WTI Trade Month (YV)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,12545,16349
"Maxi Dollar/Rand",Future,Currencies,"JSE Securities Exchange",JSE,"South Africa",Other,2017,7,2017-7,30000,69800
MDAX,Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,7696,6255
MDAX,Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,174,532
"Medium Gilt",Future,"Interest Rates","ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,136,763
"Medium Term Bond",Future,"Interest Rates","Warsaw Stock Exchange",WSE,Poland,Europe,2017,7,2017-7,500,500
"Mentha Oil",Future,Agriculture,"Multi Commodity Exchange of India",MCX,India,Asia,2017,7,2017-7,65832,5770
"Merval Stock Index",Future,Equity,"Rosario Futures Exchange",ROFEX,Argentina,"Latin America",2017,7,2017-7,36325,4687
"Merval Stock Index",Option,Equity,"Rosario Futures Exchange",ROFEX,Argentina,"Latin America",2017,7,2017-7,35,15
"Methanol (MA)",Future,Other,"Zhengzhou Commodity Exchange",ZCE,China,Asia,2017,7,2017-7,12738111,379070
"Mexican Peso",Future,Currencies,"Bolsa de Mercadorias & Futuros",BMF,Brazil,"Latin America",2017,7,2017-7,3066,1613
"Mexican Peso",Future,Currencies,"Chicago Mercantile Exchange",CME,"United States","North America",2017,7,2017-7,711791,214991
"Mexican Peso",Option,Currencies,"Chicago Mercantile Exchange",CME,"United States","North America",2017,7,2017-7,448,1126
"Mexican Peso/Euro",Future,Currencies,"Mexican Derivatives Exchange",MEXDER,Mexico,"Latin America",2017,7,2017-7,6,27
"Mexican Peso/US Dollar",Future,Currencies,"ICE Futures U.S.",IFUS,"United States","North America",2017,7,2017-7,0,17
"Mexican Peso/US Dollar",Future,Currencies,"Mexican Derivatives Exchange",MEXDER,Mexico,"Latin America",2017,7,2017-7,165791,900262
"Mexican Peso/US Dollar",Option,Currencies,"Mexican Derivatives Exchange",MEXDER,Mexico,"Latin America",2017,7,2017-7,1755,3761
"MICEX Index",Future,Equity,"Moscow Exchange",MOEX,Russia,Europe,2017,7,2017-7,518495,18414
"MICEX Index",Option,Equity,"Moscow Exchange",MOEX,Russia,Europe,2017,7,2017-7,30,722
"MICEX Index (mini)",Future,Equity,"Moscow Exchange",MOEX,Russia,Europe,2017,7,2017-7,1302161,35324
"MICEX Index (mini)",Option,Equity,"Moscow Exchange",MOEX,Russia,Europe,2017,7,2017-7,7223,9890
"MichCon Natural Gas (Platts IFERC) Basis (NF)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,8235
"Micro CAD/USD",Future,Currencies,"Chicago Mercantile Exchange",CME,"United States","North America",2017,7,2017-7,25429,2779
"Micro CHF/USD",Future,Currencies,"Chicago Mercantile Exchange",CME,"United States","North America",2017,7,2017-7,836,175
"Micro JPY/USD",Future,Currencies,"Chicago Mercantile Exchange",CME,"United States","North America",2017,7,2017-7,26367,2242
"Mid Term Euro-OAT",Future,"Interest Rates",Eurex,EUREX,Germany,Europe,2017,7,2017-7,2,10
"Midi BFP Milk",Option,Agriculture,"Chicago Mercantile Exchange",CME,"United States","North America",2017,7,2017-7,16,501
"Milling Wheat",Future,Agriculture,"Euronext Derivatives Market",EURONEXT,"United Kingdom",Europe,2017,7,2017-7,975247,353436
"Milling Wheat",Option,Agriculture,"Euronext Derivatives Market",EURONEXT,"United Kingdom",Europe,2017,7,2017-7,104300,224591
"Mini 1% Fuel Oil Cargoes FOB MED (Platts) (MFD)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,13,74
"Mini 10 Year Japan Government Bond",Future,"Interest Rates","Japan Exchange",JPX,Japan,Asia,2017,7,2017-7,263,58
"Mini 3.5% Fuel Oil Cargoes FOB MED (Platts) Financial (MMF)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,95
"Mini Argus Propane (Saudi Aramco) (MAS)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,30,30
"Mini Argus Propane Far East Index (MAE)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,40,50
"Mini Brent Crude (100 BBL)",Future,Energy,"ICE Futures Singapore",IFSG,Singapore,Asia,2017,7,2017-7,203292,3033
"Mini Corn",Future,Agriculture,"Chicago Board of Trade",CBOT,"United States","North America",2017,7,2017-7,12653,7258
"Mini Dated Brent (Platts) Financial (MDB)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,80,20
"Mini DJ Industrial Index",Option,Equity,"Chicago Board of Trade",CBOT,"United States","North America",2017,7,2017-7,5933,5725
"Mini Dubai Crude Oil (Platts) (DBL)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,100,100
"Mini Euro",Future,Currencies,"Bolsa de Mercadorias & Futuros",BMF,Brazil,"Latin America",2017,7,2017-7,41,7
"Mini European 1% Fuel Oil Barges FOB Rotterdam (Platts) (T0)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,54,463
"Mini European 1% Fuel Oil Cargoes FOB NWE (Platts) (0B)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,20,105
"Mini European 3.5% Fuel Oil Barges FOB Rotterdam (Platts) (0D)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,2357,6814
"Mini European 3.5% Fuel Oil Barges FOB Rotterdam (Platts) Balance of the Month (0E)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,395,265
"Mini European Diesel 10 PPM Barges FOB Rotterdam (Platts) vs. Low Sulphur Gasoil (MUD)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,299
"Mini European Jet Kero Cargoes CIF NWE (Platts) vs. Low Sulphur Gasoil (MJC)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,35,480
"Mini European Naphtha (Platts) Balance of the Month (MEN)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,305,290
"Mini European Naphtha CIF NWE (Platts) (MNC)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,3857,4859
"Mini Gasoil 0.1 Cargoes CIF NWE (Platts) vs. Low Sulphur Gasoil (MGF)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,19
"Mini Gasoline Euro-Bob Oxy NWE Barges (Argus) (MEO)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,7353,6156
"Mini Gasoline Euro-Bob Oxy NWE Barges (Argus) Balance of the Month (MEB)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,624,608
"Mini Gold",Future,Metals,"ICE Futures U.S.",IFUS,"United States","North America",2017,7,2017-7,9200,765
"Mini H-Shares Index",Future,Equity,"Hong Kong Exchanges and Clearing",HKEX,"Hong Kong",Asia,2017,7,2017-7,299007,4113
"Mini H-shares Index",Option,Equity,"Hong Kong Exchanges and Clearing",HKEX,"Hong Kong",Asia,2017,7,2017-7,29476,4822
"Mini Hang Seng Index",Future,Equity,"Hong Kong Exchanges and Clearing",HKEX,"Hong Kong",Asia,2017,7,2017-7,826514,12154
"Mini Hang Seng Index",Option,Equity,"Hong Kong Exchanges and Clearing",HKEX,"Hong Kong",Asia,2017,7,2017-7,156600,12916
