Standardized_Contract,Contract_Type,Group_Name,Exchange_Name,Parent_Name,Abbreviated_Name,Country,Region,Year,Month,Report_Year_Month,Date,Volume,Open_Interest
Mini European Naphtha (Platts) Balance of the Month (MEN),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,657,613
Mini European Naphtha CIF NWE (Platts) (MNC),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,3970,4544
Mini European Propane CIF ARA (Argus) (MPS),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,10,10
Mini Gasoil 0.1 Cargoes CIF NWE (Platts) vs. Low Sulphur Gasoil (MGF),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,89,85
Mini Gasoline Euro-Bob Oxy NWE Barges (Argus) (MEO),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,7111,6181
Mini Gasoline Euro-Bob Oxy NWE Barges (Argus) Balance of the Month (MEB),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,255,250
Mini Gold,Future,Metals,ICE Futures U.S.,Intercontinental Exchange,IFUS,United States,North America,2017,8,2017-08,8/1/2017,10400,908
Mini H-Shares Index,Future,Equity,Hong Kong Exchanges and Clearing,Hong Kong Exchanges and Clearing,HKEX,Hong Kong,Asia,2017,8,2017-08,8/1/2017,322418,4430
Mini H-shares Index,Option,Equity,Hong Kong Exchanges and Clearing,Hong Kong Exchanges and Clearing,HKEX,Hong Kong,Asia,2017,8,2017-08,8/1/2017,36031,4975
Mini Hang Seng Index,Future,Equity,Hong Kong Exchanges and Clearing,Hong Kong Exchanges and Clearing,HKEX,Hong Kong,Asia,2017,8,2017-08,8/1/2017,1152401,9192
Mini Hang Seng Index,Option,Equity,Hong Kong Exchanges and Clearing,Hong Kong Exchanges and Clearing,HKEX,Hong Kong,Asia,2017,8,2017-08,8/1/2017,141772,18548
Mini IBEX 35,Future,Equity,MEFF,MEFF,MEFF,Spain,Europe,2017,8,2017-08,8/1/2017,121835,8006
Mini Indian Rupee,Future,Currencies,Dubai Gold & Commodities Exchange,Dubai Gold & Commodities Exchange,DGCX,United Arab Emirates,Asia,2017,8,2017-08,8/1/2017,80982,4200
Mini IPC Stock Index,Future,Equity,Mexican Derivatives Exchange,BMV Group,MEXDER,Mexico,Latin America,2017,8,2017-08,8/1/2017,1672,1549
Mini Japan C&F Naphtha (Platts) (MJN),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,1400,2135
Mini Japan C&F Naphtha (Platts) Balance of the Month (E6M),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,40,40
Mini Japanese Government Bond,Future,Interest Rates,Singapore Exchange,Singapore Exchange,SGX,Singapore,Asia,2017,8,2017-08,8/1/2017,31848,19567
Mini Kospi 200,Future,Equity,Korea Exchange,Korea Exchange,KRX,South Korea,Asia,2017,8,2017-08,8/1/2017,1390940,115699
Mini Kospi 200,Option,Equity,Korea Exchange,Korea Exchange,KRX,South Korea,Asia,2017,8,2017-08,8/1/2017,1288237,209475
Mini Kospi 200 Daily (FMK2),Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,15343,0
Mini Lead,Future,Metals,Multi Commodity Exchange of India,Multi Commodity Exchange of India,MCX,India,Asia,2017,8,2017-08,8/1/2017,517263,3875
