Exchange_Name,Reported_Instrument_Name,Report_Month_Name,Report_Year,Report_Year_Month,Volume,Open_Interest
Chicago Board of Trade,$25 Dow Jones Industrial Index,August,2011,2011-08,10,
Chicago Mercantile Exchange,British Pound/Japanese Yen,January,2004,2004-01,10,
Chicago Board Options Exchange,13 Week Interest Rate (IRX),October,2009,2009-10,10,
Chicago Mercantile Exchange,90 Day T-Bills,July,2003,2003-07,10,
Chicago Board Options Exchange,13 Week Interest Rate (IRX),February,2007,2007-02,10,
Chicago Board Options Exchange,30 Year Interest Rate (TYX),August,2008,2008-08,10,
Chicago Board Options Exchange,13 Week Interest Rate (IRX),June,2008,2008-06,10,
Eurex US,2 Year Treasury Note,June,2004,2004-06,10,
New York Mercantile Exchange,Australian Coke Coal (ALW),February,2012,2012-02,10,
Nyse Liffe U.S.,"5,000 oz. Silver",June,2009,2009-06,10,
ICE Futures Canada,Barley,November,2012,2012-11,10,
Singapore International Monetary Exchange,Brent Crude,August,2001,2001-08,10,
Chicago Mercantile Exchange,British Pound/Japanese Yen,March,2006,2006-03,9,
Chicago Mercantile Exchange,British Pound/Japanese Yen,October,2005,2005-10,9,
New York Board of Trade,Australian Dollar/New Zealand,November,2000,2000-11,9,
Chicago Board Options Exchange,10 Year Interest Rate (TNX),March,2010,2010-03,9,
Chicago Board Options Exchange,13 Week Interest Rate (IRX),December,2009,2009-12,9,
Chicago Mercantile Exchange,90 Day T-Bills,September,2003,2003-09,9,
Chicago Board of Trade,7 Year Interest Rate Swap,October,2008,2008-10,9,
Chicago Board Options Exchange,10 Year Interest Rate (TNX),August,2008,2008-08,9,
Chicago Board Options Exchange,10 Year Interest Rate (TNX),September,2010,2010-09,9,
Budapest Commodity Exchange,Ammonium Nitrate,August,2001,2001-08,9,
Minneapolis Grain Exchange,Barley,July,1996,1996-07,8,
New York Mercantile Exchange,California Oregon Border Electricity,September,2000,2000-09,8,
Chicago Board of Trade,$25 Dow Jones Industrial Index,December,2012,2012-12,8,
Chicago Board Options Exchange,10 Year Interest Rate (TNX),February,2011,2011-02,8,
Chicago Board Options Exchange,30 Year Interest Rate (TYX),September,2009,2009-09,8,
Nyse Liffe U.S.,"5,000 oz. Silver",January,2011,2011-01,8,
