Exchange_Name,FIA_Region,Report_Year,Open_Interest,Volume,Ratio
New Zealand Futures Exchange,Asia,2015,73307,27702,5.00
New Zealand Futures Exchange,Asia,2016,187780,91983,6.00
Nord Pool,Europe,2008,187780,1114850,7.00
North American Derivative Exchange,North America,2010,187780,3167,8.00
North American Derivative Exchange,North America,2011,187780,51384,9.00
North American Derivative Exchange,North America,2012,187780,81995,10.00
North American Derivative Exchange,North America,2013,187780,127040,1.00
North American Derivative Exchange,North America,2014,187780,202671,2.00
North American Derivative Exchange,North America,2015,187780,264493,4.00
North American Derivative Exchange,North America,2016,187780,189302,3
NYSE Amex,North America,2016,187780,3,5.00
OCC,North America,2016,1,3,6.00
Pakistan Mercantile Exchange,Asia,2013,64438,2227601,7.00
Pakistan Mercantile Exchange,Asia,2014,58519,2348971,8.00
Pakistan Mercantile Exchange,Asia,2015,48013,2539649,9.00
Pakistan Mercantile Exchange,Asia,2016,33416,1130093,10.00
Rosario Futures Exchange,Latin America,2011,5000,9928,1.00
Rosario Futures Exchange,Latin America,2012,5000,22664,2.00
Rosario Futures Exchange,Latin America,2013,8701,18198,4.00
Rosario Futures Exchange,Latin America,2014,26529,34168,3
Rosario Futures Exchange,Latin America,2015,46887,33244,5.00
Rosario Futures Exchange,Latin America,2016,36207,121564,6.00
SGX Asiaclear,Asia,2009,5000,8835,7.00
SGX Asiaclear,Asia,2010,5000,38589,8.00
SGX Asiaclear,Asia,2011,5000,10037,9.00
SGX Asiaclear,Asia,2012,5000,19437,10.00
SGX Asiaclear,Asia,2013,33216,27500,1.00
SGX Asiaclear,Asia,2014,114148,93855,2.00
SGX Asiaclear,Asia,2015,63651,48393,4.00
SGX Asiaclear,Asia,2016,23627,15106,3
Shanghai Futures Exchange,Asia,2004,5000,2818855,5.00
Shanghai Futures Exchange,Asia,2005,5000,9809550,6.00
Shanghai Futures Exchange,Asia,2006,5000,11492313,7.00
Shanghai Futures Exchange,Asia,2007,5000,12005094,8.00
Shanghai Futures Exchange,Asia,2008,5000,30810540,9.00
Shanghai Futures Exchange,Asia,2009,5000,45753969,10.00
Shanghai Futures Exchange,Asia,2010,5000,10682204,1.00
Shanghai Futures Exchange,Asia,2011,5000,1971141,2.00
Shanghai Futures Exchange,Asia,2012,5000,9132,4.00
Shanghai Futures Exchange,Asia,2013,70690,3135340,3
Shanghai Futures Exchange,Asia,2014,100084,651638,5.00
Shanghai Futures Exchange,Asia,2015,424681,32401698,6.00
Shanghai Futures Exchange,Asia,2016,4394986,142796227,7.00
Singapore Exchange,Asia,2010,5000,6490,8.00
Singapore Exchange,Asia,2011,5000,1746,9.00
Singapore International Monetary Exchange,Asia,1994,5000,171896,10.00
Singapore International Monetary Exchange,Asia,1995,5000,92866,1.00
Singapore International Monetary Exchange,Asia,1996,5000,63577,2.00
Singapore International Monetary Exchange,Asia,1997,5000,34833,4.00
Singapore International Monetary Exchange,Asia,1998,5000,32600,3
Singapore International Monetary Exchange,Asia,1999,5000,18853,5.00
Singapore International Monetary Exchange,Asia,2000,5000,3980,6.00
Singapore International Monetary Exchange,Asia,2001,5000,50,7.00
Singapore International Monetary Exchange,Asia,2002,5000,1282,8.00
Singapore International Monetary Exchange,Asia,2003,5000,2590,9.00
Singapore Mercantile Exchange,Asia,2010,5000,2090,10.00
Singapore Mercantile Exchange,Asia,2011,5000,25723,1.00
Singapore Mercantile Exchange,Asia,2012,5000,3429,2.00
Thailand Futures Exchange,Asia,2011,5000,3320,4.00
Thailand Futures Exchange,Asia,2012,5000,147823,3
Thailand Futures Exchange,Asia,2013,5381,46496,5.00
Thailand Futures Exchange,Asia,2014,4921,32530,6.00
Thailand Futures Exchange,Asia,2015,5057,25970,7.00
Thailand Futures Exchange,Asia,2016,2982,19076,8.00
Tokyo Commodity Exchange,Asia,1999,5000,5414831,9.00
Tokyo Commodity Exchange,Asia,2000,5000,21111439,10.00
Tokyo Commodity Exchange,Asia,2001,5000,25654212,1.00
Tokyo Commodity Exchange,Asia,2002,5000,33385885,2.00
Tokyo Commodity Exchange,Asia,2003,5000,41068117,4.00
Tokyo Commodity Exchange,Asia,2004,5000,39205280,3
Tokyo Commodity Exchange,Asia,2005,5000,26732003,5.00
Tokyo Commodity Exchange,Asia,2006,5000,19386944,6.00
Tokyo Commodity Exchange,Asia,2007,5000,11369543,7.00
Tokyo Commodity Exchange,Asia,2008,5000,6129295,8.00
Tokyo Commodity Exchange,Asia,2009,5000,4383212,9.00
Tokyo Commodity Exchange,Asia,2010,5000,4665935,10.00
Tokyo Commodity Exchange,Asia,2011,5000,4789225,1.00
Tokyo Commodity Exchange,Asia,2012,5000,4532168,2.00
Tokyo Commodity Exchange,Asia,2013,780046,4402511,4.00
Tokyo Commodity Exchange,Asia,2014,612239,3489531,3
Tokyo Commodity Exchange,Asia,2015,883928,5778780,5.00
Tokyo Commodity Exchange,Asia,2016,959395,5565931,6.00
Zhengzhou Commodity Exchange,Asia,2013,141702,4357384,7.00
Zhengzhou Commodity Exchange,Asia,2014,496623,5646295,8.00
Zhengzhou Commodity Exchange,Asia,2015,254625,2652047,9.00
Zhengzhou Commodity Exchange,Asia,2016,1026627,34859715,10.00
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
