Contract_Type,Year,Month,Report_Year_Month,Volume,Open_Interest
Future,2014,09,2014-09,1148950776,205964325
Option,2014,09,2014-09,883315333,604774350
Future,2014,10,2014-10,1177573121,199959335
Option,2014,10,2014-10,1044408433,633104635
Future,2014,11,2014-11,1031824580,209826617
Option,2014,11,2014-11,803528305,632410232
Future,2014,12,2014-12,1242175441,227302585
Option,2014,12,2014-12,933197747,549944723
Future,2015,01,2015-01,1085278230,212062600
Option,2015,01,2015-01,932093280,496988732
Future,2015,02,2015-02,962508408,222353269
Option,2015,02,2015-02,798460959,528194341
Future,2015,03,2015-03,1313770747,224916590
Option,2015,03,2015-03,888141052,518580328
Future,2015,04,2015-04,1161697114,243695456
Option,2015,04,2015-04,877243843,565054013
Future,2015,05,2015-05,1130968386,259319863
Option,2015,05,2015-05,832797855,578317216
Future,2015,06,2015-06,1301495424,250563244
Option,2015,06,2015-06,904825361,553500291
Future,2015,07,2015-07,1246515693,252089983
Option,2015,07,2015-07,970208910,585935373
Future,2015,08,2015-08,1379565197,255316667
Option,2015,08,2015-08,1007436144,620383391
Future,2015,09,2015-09,1348920026,257553252
Option,2015,09,2015-09,883496424,597061456
Future,2015,10,2015-10,1083150478,268994651
Option,2015,10,2015-10,838786241,615975882
Future,2015,11,2015-11,1133715263,274255303
Option,2015,11,2015-11,673397320,610815853
Future,2015,12,2015-12,1330448536,262124333
Option,2015,12,2015-12,715948384,528931785
Future,2016,01,2016-01,1280540881,279959370
Option,2016,01,2016-01,832461528,501915413
Future,2016,02,2016-02,1256214462,280788076
Option,2016,02,2016-02,783349248,536496085
Future,2016,03,2016-03,1707442530,258726153
Option,2016,03,2016-03,798742820,540711040
Future,2016,04,2016-04,1418341997,259101815
Option,2016,04,2016-04,726393162,570162937
Future,2016,05,2016-05,1266190130,254004494
Option,2016,05,2016-05,722361631,580140897
Future,2016,06,2016-06,1475904342,241650772
Option,2016,06,2016-06,850445508,571176876
Future,2016,07,2016-07,1189225590,242233395
Option,2016,07,2016-07,713917046,576268591
Future,2016,08,2016-08,1166412290,252119129
Option,2016,08,2016-08,717448525,590241003
Future,2016,09,2016-09,1275683605,242703125
Option,2016,09,2016-09,790867278,586898499
Future,2016,10,2016-10,1054774983,248503888
Option,2016,10,2016-10,718709171,590803362
Future,2016,11,2016-11,1484856433,251836481
Option,2016,11,2016-11,900189916,638600363
Future,2016,12,2016-12,1316122002,235429082
Option,2016,12,2016-12,773015966,552380239
Future,2017,01,2017-01,1036978273,242231860
Option,2017,01,2017-01,763950838,512263912
Future,2017,02,2017-02,1069962125,254752898
Option,2017,02,2017-02,780499215,568151185
Future,2017,03,2017-03,1401672443,252326240
Option,2017,03,2017-03,904319283,574515591
Future,2017,04,2017-04,1098227318,247648843
Option,2017,04,2017-04,817130494,590789119
Future,2017,05,2017-05,1301813883,269139963
Option,2017,05,2017-05,927680092,616517301
Future,2017,06,2017-06,1433586464,251724591
Option,2017,06,2017-06,884700980,588576041
Future,2017,07,2017-07,1140439289,254175405
Option,2017,07,2017-07,786383067,590316556
Future,2017,08,2017-08,1296412443,256984193
Option,2017,08,2017-08,937875344,641175661
Future,2017,09,2017-09,1359102965,246636280
Option,2017,09,2017-09,875123328,627739932
