Standardized_Contract,Contract_Type,Group_Name,Exchange_Name,Parent_Name,Abbreviated_Name,Country,Region,Year,Month,Report_Year_Month,Volume,Open_Interest
"Chinese Renminbi/Rand",Future,Currencies,"JSE Securities Exchange","JSE Securities Exchange",JSE,"South Africa",Other,2017,09,2017-09,10,0
"Chinese Renminbi/US Dollar",Future,Currencies,"Chicago Mercantile Exchange","CME Group",CME,"United States","North America",2017,09,2017-09,46,23
"Chukyo Gasoline",Future,Energy,"Tokyo Commodity Exchange","Tokyo Commodity Exchange",TOCOM,Japan,Asia,2017,09,2017-09,945,68
"Chukyo Kerosene",Future,Energy,"Tokyo Commodity Exchange","Tokyo Commodity Exchange",TOCOM,Japan,Asia,2017,09,2017-09,382,471
"CIG Rockies Natural Gas (Platts IFERC) Basis (CI)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,28887
"CIG Rockies Natural Gas (Platts IFERC) Fixed Price (XIC)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,24
"Class III Milk",Future,Agriculture,"Chicago Mercantile Exchange","CME Group",CME,"United States","North America",2017,09,2017-09,22438,27378
"Class III Milk",Option,Agriculture,"Chicago Mercantile Exchange","CME Group",CME,"United States","North America",2017,09,2017-09,30166,79570
"Class IV Milk",Future,Agriculture,"Chicago Mercantile Exchange","CME Group",CME,"United States","North America",2017,09,2017-09,542,2863
"Class IV Milk",Option,Agriculture,"Chicago Mercantile Exchange","CME Group",CME,"United States","North America",2017,09,2017-09,1481,6532
"Clearbrook Bakken Sweet Crude Oil Index (Net Energy) (CSW)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,180,720
CNH/TRY,Future,Currencies,"Borsa Istanbul","Borsa Istanbul",BIST,Turkey,Other,2017,09,2017-09,152,13
"CNX IT Index",Future,Equity,"National Stock Exchange of India","National Stock Exchange of India",NSE,India,Asia,2017,09,2017-09,3987,639
"CNX Nifty 50 (I5F)",Future,Equity,"Taiwan Futures Exchange","Taiwan Futures Exchange",TAIFEX,Taiwan,Asia,2017,09,2017-09,4547,281
"CNX Nifty Index",Future,Equity,"Chicago Mercantile Exchange","CME Group",CME,"United States","North America",2017,09,2017-09,18228,218
"CNX Nifty Index",Future,Equity,"Japan Exchange","Japan Exchange",JPX,Japan,Asia,2017,09,2017-09,88,16
"CNX Nifty Index",Future,Equity,"National Stock Exchange of India","National Stock Exchange of India",NSE,India,Asia,2017,09,2017-09,2855130,285925
"CNX Nifty Index",Option,Equity,"National Stock Exchange of India","National Stock Exchange of India",NSE,India,Asia,2017,09,2017-09,56749205,1658420
CNY/RUB,Future,Currencies,"Moscow Exchange","Moscow Exchange",MOEX,Russia,Europe,2017,09,2017-09,85,2
CNY/USD,Future,Currencies,"Singapore Exchange","Singapore Exchange",SGX,Singapore,Asia,2017,09,2017-09,1114,999
"Coal (API 2) CIF ARA (Argus/McCloskey) (MTO)",Option,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,1055
"Coal (API 2) CIF ARA (Argus/McCloskey) Calendar (CLA)",Option,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,1281,5528
"Coal (API 5) FOB Newcastle (Argus/McCloskey) (ACM)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,275,210
"Coal (API2) CIF ARA (ARGUS-McCloskey) (MTF)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,41084,58543
"Coal (API4) FOB Richards Bay (ARGUS-McCloskey) (MFF)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,3800,8542
Cobalt,Future,Metals,"London Metal Exchange","Hong Kong Exchanges and Clearing",LME,"United Kingdom",Europe,2017,09,2017-09,1117,340
Cocoa,Future,Agriculture,"ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,499575,277433
Cocoa,Future,Agriculture,"ICE Futures U.S.","Intercontinental Exchange",IFUS,"United States","North America",2017,09,2017-09,660699,257649
Cocoa,Option,Agriculture,"ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,76254,189359
Cocoa,Option,Agriculture,"ICE Futures U.S.","Intercontinental Exchange",IFUS,"United States","North America",2017,09,2017-09,77482,120046
"Cocoa (CJ)",Future,Agriculture,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,2,0
"Coffee C",Future,Agriculture,"ICE Futures U.S.","Intercontinental Exchange",IFUS,"United States","North America",2017,09,2017-09,599210,196814
"Coffee C",Option,Agriculture,"ICE Futures U.S.","Intercontinental Exchange",IFUS,"United States","North America",2017,09,2017-09,220995,169876
"Coffee C 1 Month",Option,Agriculture,"ICE Futures U.S.","Intercontinental Exchange",IFUS,"United States","North America",2017,09,2017-09,1268,19515
"Coffee C 2 Month",Option,Agriculture,"ICE Futures U.S.","Intercontinental Exchange",IFUS,"United States","North America",2017,09,2017-09,1500,2000
Coke,Future,Energy,"Dalian Commodity Exchange","Dalian Commodity Exchange",DCE,China,Asia,2017,09,2017-09,5273857,136428
"Coking Coal",Future,Energy,SGX,"Singapore Exchange","SGX ASIACLEAR",Singapore,Asia,2017,09,2017-09,11820,12740
"Colcap Index",Future,Equity,"Bolsa de Valores de Colombia","Bolsa de Valores de Colombia",BVC,Colombia,"Latin America",2017,09,2017-09,471,67
"Colombian Peso/US Dollar",Future,Currencies,"ICE Futures U.S.","Intercontinental Exchange",IFUS,"United States","North America",2017,09,2017-09,325,150
"Columbia Gas TCO (Platts IFERC) Basis (TC)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,16868
"Columbia Gulf, Louisiana Natural Gas (Platts IFERC) Basis (GL)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,4324
"Columbia Gulf, Mainline Natural Gas (Platts IFERC) Basis (5Z)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,8022
"Common Wheat (PM)",Future,Agriculture,"Zhengzhou Commodity Exchange","Zhengzhou Commodity Exchange",ZCE,China,Asia,2017,09,2017-09,1,0
"Conway Natural Gasoline (OPIS) (8L)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,73,1320
"Conway Natural Gasoline (OPIS) Balance of the Month (CGB)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,25,25
"Conway Normal Butane (OPIS) (8M)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,662,3780
"Conway Propane (OPIS) (8K)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,10539,18892
"Conway Propane (OPIS) Average Price (CPR)",Option,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,18
"Conway Propane (OPIS) Balance of the Month (CPB)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,221,221
Copper,Future,Metals,"Dubai Gold & Commodities Exchange","Dubai Gold & Commodities Exchange",DGCX,"United Arab Emirates",Asia,2017,09,2017-09,1679,162
Copper,Future,Metals,"JSE Securities Exchange","JSE Securities Exchange",JSE,"South Africa",Other,2017,09,2017-09,20,313
Copper,Future,Metals,"Moscow Exchange","Moscow Exchange",MOEX,Russia,Europe,2017,09,2017-09,6,0
Copper,Future,Metals,"Multi Commodity Exchange of India","Multi Commodity Exchange of India",MCX,India,Asia,2017,09,2017-09,760070,14329
Copper,Future,Metals,"Pakistan Mercantile Exchange","Pakistan Mercantile Exchange",PMEX,Pakistan,Asia,2017,09,2017-09,1740,132
Copper,Future,Metals,"Shanghai Futures Exchange","Shanghai Futures Exchange",SHFE,China,Asia,2017,09,2017-09,4675606,288535
Copper,Option,Metals,"North American Derivative Exchange","North American Derivative Exchange",NADEX,"United States","North America",2017,09,2017-09,935,NULL
"Copper (HG)",Future,Metals,"Commodity Exchange (COMEX)","CME Group",COMEX,"United States","North America",2017,09,2017-09,2309536,272255
"Copper (HX)",Option,Metals,"Commodity Exchange (COMEX)","CME Group",COMEX,"United States","North America",2017,09,2017-09,17787,7471
"Copper Financial (HGS)",Future,Metals,"Commodity Exchange (COMEX)","CME Group",COMEX,"United States","North America",2017,09,2017-09,100,995
"Copper Grade A",Future,Metals,"London Metal Exchange","Hong Kong Exchanges and Clearing",LME,"United Kingdom",Europe,2017,09,2017-09,3250926,447765
"Copper Grade A",Option,Metals,"London Metal Exchange","Hong Kong Exchanges and Clearing",LME,"United Kingdom",Europe,2017,09,2017-09,175215,160592
"Copper Grade A TAPOS",Option,Metals,"London Metal Exchange","Hong Kong Exchanges and Clearing",LME,"United Kingdom",Europe,2017,09,2017-09,48,23658
"Copper Mini",Future,Metals,"Multi Commodity Exchange of India","Multi Commodity Exchange of India",MCX,India,Asia,2017,09,2017-09,633885,7677
Coriander,Future,Agriculture,"National Commodity & Derivatives Exchange","National Commodity & Derivatives Exchange",NCDEX,India,Asia,2017,09,2017-09,30790,4655
Corn,Future,Agriculture,"Chicago Board of Trade","CME Group",CBOT,"United States","North America",2017,09,2017-09,4606354,1407404
Corn,Future,Agriculture,"Dalian Commodity Exchange","Dalian Commodity Exchange",DCE,China,Asia,2017,09,2017-09,6528986,586322
Corn,Future,Agriculture,"Euronext Derivatives Market",Euronext,EURONEXT,"United Kingdom",Europe,2017,09,2017-09,30129,27840
Corn,Future,Agriculture,"JSE Securities Exchange","JSE Securities Exchange",JSE,"South Africa",Other,2017,09,2017-09,9669,19056
Corn,Future,Agriculture,"Mercado a Termino de Buenos Aires","Mercado a Termino de Buenos Aires",MATBA,Argentina,"Latin America",2017,09,2017-09,2742,4559
Corn,Future,Agriculture,"Osaka Dojima Commodity Exchange","Japan Exchange",ODE,Japan,Asia,2017,09,2017-09,1788,50
Corn,Future,Agriculture,"Rosario Futures Exchange","Rosario Futures Exchange",ROFEX,Argentina,"Latin America",2017,09,2017-09,19,44
Corn,Future,Agriculture,"Tokyo Commodity Exchange","Tokyo Commodity Exchange",TOCOM,Japan,Asia,2017,09,2017-09,14641,15411
Corn,Option,Agriculture,"Chicago Board of Trade","CME Group",CBOT,"United States","North America",2017,09,2017-09,1661780,1274336
Corn,Option,Agriculture,"Euronext Derivatives Market",Euronext,EURONEXT,"United Kingdom",Europe,2017,09,2017-09,5002,16350
Corn,Option,Agriculture,"Mercado a Termino de Buenos Aires","Mercado a Termino de Buenos Aires",MATBA,Argentina,"Latin America",2017,09,2017-09,158,1736
Corn,Option,Agriculture,"North American Derivative Exchange","North American Derivative Exchange",NADEX,"United States","North America",2017,09,2017-09,564,NULL
Corn,Option,Agriculture,"Rosario Futures Exchange","Rosario Futures Exchange",ROFEX,Argentina,"Latin America",2017,09,2017-09,4,32
"Corn 75 Index",Future,Agriculture,"Osaka Dojima Commodity Exchange","Japan Exchange",ODE,Japan,Asia,2017,09,2017-09,239,0
"Corn Cash Settled",Future,Agriculture,B3,B3,B3,Brazil,"Latin America",2017,09,2017-09,79045,17926
"Corn Cash Settled",Option,Agriculture,B3,B3,B3,Brazil,"Latin America",2017,09,2017-09,19655,24726
"Corn Nearby + 2 Calendar Spread",Option,Agriculture,"Chicago Board of Trade","CME Group",CBOT,"United States","North America",2017,09,2017-09,50,6126
"Corn Starch",Future,Agriculture,"Dalian Commodity Exchange","Dalian Commodity Exchange",DCE,China,Asia,2017,09,2017-09,2790590,147642
Cotton,Future,Agriculture,"Multi Commodity Exchange of India","Multi Commodity Exchange of India",MCX,India,Asia,2017,09,2017-09,42755,9248
"Cotton #2",Future,Agriculture,"ICE Futures U.S.","Intercontinental Exchange",IFUS,"United States","North America",2017,09,2017-09,527357,232964
"Cotton (TT)",Future,Agriculture,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,1,3
"Cotton Cake",Future,Agriculture,"National Commodity & Derivatives Exchange","National Commodity & Derivatives Exchange",NCDEX,India,Asia,2017,09,2017-09,56374,7583
"Cotton No. 1 (CF)",Future,Agriculture,"Zhengzhou Commodity Exchange","Zhengzhou Commodity Exchange",ZCE,China,Asia,2017,09,2017-09,2251136,130806
"Cotton No. 2",Option,Agriculture,"ICE Futures U.S.","Intercontinental Exchange",IFUS,"United States","North America",2017,09,2017-09,201093,204438
"Cotton No. 2 1 Month",Option,Agriculture,"ICE Futures U.S.","Intercontinental Exchange",IFUS,"United States","North America",2017,09,2017-09,200,200
"Cotton Yarn (CY)",Future,Agriculture,"Zhengzhou Commodity Exchange","Zhengzhou Commodity Exchange",ZCE,China,Asia,2017,09,2017-09,41094,1050
CPO,Future,Agriculture,"Multi Commodity Exchange of India","Multi Commodity Exchange of India",MCX,India,Asia,2017,09,2017-09,78021,8436
"Cross Listing Mini-Sized Soybean CME",Future,Agriculture,B3,B3,B3,Brazil,"Latin America",2017,09,2017-09,3907,2512
"Crude 10",Future,Energy,"Pakistan Mercantile Exchange","Pakistan Mercantile Exchange",PMEX,Pakistan,Asia,2017,09,2017-09,85065,2218
"Crude 100",Future,Energy,"Pakistan Mercantile Exchange","Pakistan Mercantile Exchange",PMEX,Pakistan,Asia,2017,09,2017-09,21992,740
"Crude Oil",Future,Energy,"JSE Securities Exchange","JSE Securities Exchange",JSE,"South Africa",Other,2017,09,2017-09,2183,6
"Crude Oil",Future,Energy,"Multi Commodity Exchange of India","Multi Commodity Exchange of India",MCX,India,Asia,2017,09,2017-09,3072717,14298
"Crude Oil",Future,Energy,"Tokyo Commodity Exchange","Tokyo Commodity Exchange",TOCOM,Japan,Asia,2017,09,2017-09,437230,136852
"Crude Oil",Option,Energy,"North American Derivative Exchange","North American Derivative Exchange",NADEX,"United States","North America",2017,09,2017-09,14023,NULL
"Crude Oil (LO)",Option,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,2689985,2981313
"Crude Oil Financial (WS)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,7750,3226
"Crude Oil Mini",Future,Energy,"Multi Commodity Exchange of India","Multi Commodity Exchange of India",MCX,India,Asia,2017,09,2017-09,5016762,32674
"Crude Oil Weekly Wk 1 (LO1)",Option,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,9269,3483
"Crude Oil Weekly Wk 2 (LO2)",Option,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,8235,655
"Crude Oil Weekly Wk 3 (LO3)",Option,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,702,685
"Crude Oil Weekly Wk 4 (LO4)",Option,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,14886,0
"Crude Oil Weekly Wk 5 (LO5)",Option,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,18627,0
"Crude Palm Oil (FCPO)",Future,Agriculture,"Malaysia Derivatives Exchange","Bursa Malaysia",MDEX,Malaysia,Asia,2017,09,2017-09,1035571,221212
"Crude Palm Oil (OCPO)",Option,Agriculture,"Malaysia Derivatives Exchange","Bursa Malaysia",MDEX,Malaysia,Asia,2017,09,2017-09,1607,13486
"CSI 300 Index",Future,Equity,"China Financial Futures Exchange","China Financial Futures Exchange",CFFEX,China,Asia,2017,09,2017-09,322429,39918
"CSI Housing Index",Future,Other,"Chicago Mercantile Exchange","CME Group",CME,"United States","North America",2017,09,2017-09,22,45
"CSX Coal (Platts OTC Broker Index) (CPF)",Option,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,40
"CSX Coal (Platts OTC Broker Index) (QX)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,100,380
CZK/HUF,Future,Currencies,"Budapest Stock Exchange","CEE Stock Exchange Group",BSE,Hungary,Europe,2017,09,2017-09,10,0
"Daily European Naphtha CIF NWE (Platts) (NCP)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,150,150
"Daily TAIEX",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,299,0
"Daily TAIEX (OTX)",Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,118,0
"Daily TAIEX (OTX1)",Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,40,0
"Daily TAIEX (OTX2)",Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,21,0
"Daily TAIEX (OTX4)",Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,30,0
"Danish Mortgage Bond (20MBF)",Future,"Interest Rates","Nasdaq Exchanges Nordic Markets",Nasdaq,OMX,Sweden,Europe,2017,09,2017-09,300,250
"Danish Mortgage Bond (3MBF)",Future,"Interest Rates","Nasdaq Exchanges Nordic Markets",Nasdaq,OMX,Sweden,Europe,2017,09,2017-09,1600,350
"Danish Mortgage Bond (3YMBF)",Future,"Interest Rates","Nasdaq Exchanges Nordic Markets",Nasdaq,OMX,Sweden,Europe,2017,09,2017-09,500,300
"Dated Brent (Platts) Financial (UB)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,600,1537
"Dated Brent (Platts) to Frontline Brent (FY)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,2000,12065
DAX,Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,1878979,120193
Dax,Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,1474137,1826062
"Dax 1st Friday Weekly",Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,30813,14004
"Dax 2nd Friday Weekly",Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,55638,2103
"Dax 4th Friday Weekly",Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,48226,50
"Dax 5th Friday Weekly",Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,71280,0
"DAX Margin",Future,Equity,"Tokyo Financial Exchange","Tokyo Financial Exchange",TFX,Japan,Asia,2017,09,2017-09,14981,8416
"db x-trackers MSCI Emerging Markets TRN",Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,77,72
"DC24 Bond",Future,"Interest Rates","Mexican Derivatives Exchange","BMV Group",MEXDER,Mexico,"Latin America",2017,09,2017-09,44458,20852
"Dec-Dec Corn Calendar Spread",Option,Agriculture,"Chicago Board of Trade","CME Group",CBOT,"United States","North America",2017,09,2017-09,2649,10033
"Dec-July Corn Calendar Spread",Option,Agriculture,"Chicago Board of Trade","CME Group",CBOT,"United States","North America",2017,09,2017-09,3130,18525
"Dec-July Wheat Calendar Spread",Option,Agriculture,"Chicago Board of Trade","CME Group",CBOT,"United States","North America",2017,09,2017-09,699,924
"Degummed Soy Oil",Future,Agriculture,"National Commodity & Derivatives Exchange","National Commodity & Derivatives Exchange",NCDEX,India,Asia,2017,09,2017-09,17,0
"Demarc Natural Gas (Platts IFERC) Basis (PE)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,2332
Diesel,Future,Energy,"JSE Securities Exchange","JSE Securities Exchange",JSE,"South Africa",Other,2017,09,2017-09,669,2279
"DIJA Index",Future,Equity,"National Stock Exchange of India","National Stock Exchange of India",NSE,India,Asia,2017,09,2017-09,3275,772
DivDAX,Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,6222,2404
Dividend,Future,Equity,"JSE Securities Exchange","JSE Securities Exchange",JSE,"South Africa",Other,2017,09,2017-09,1729690,916942
"DJ Industrial Average Index (DJX)",Option,Equity,"Chicago Board Options Exchange","CBOE Holdings",CBOE,"United States","North America",2017,09,2017-09,121649,NULL
"DJ Industrial Index (DJX)",Option,Equity,OCC,OCC,OCC,"United States","North America",2017,09,2017-09,NULL,247327
"DJ US Real Estate",Future,Other,"Chicago Board of Trade","CME Group",CBOT,"United States","North America",2017,09,2017-09,64805,18262
"DJIA Index (UDF)",Future,Equity,"Taiwan Futures Exchange","Taiwan Futures Exchange",TAIFEX,Taiwan,Asia,2017,09,2017-09,46600,3004
"DJIA Margin",Future,Equity,"Tokyo Financial Exchange","Tokyo Financial Exchange",TFX,Japan,Asia,2017,09,2017-09,135697,49582
Dollar/Rand,Future,Currencies,"JSE Securities Exchange","JSE Securities Exchange",JSE,"South Africa",Other,2017,09,2017-09,3841908,1233566
Dollar/Rand,Option,Currencies,"JSE Securities Exchange","JSE Securities Exchange",JSE,"South Africa",Other,2017,09,2017-09,776573,2236786
"Dominion, South Point Natural Gas (Platts Gas Daily/Platts IFERC) Index (IH)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,2920
"Dominion, South Point Natural Gas (Platts IFERC) Basis (PG)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,39591
"Dry Whey",Future,Agriculture,"Chicago Mercantile Exchange","CME Group",CME,"United States","North America",2017,09,2017-09,1254,3813
"Dry Whey",Option,Agriculture,"Chicago Mercantile Exchange","CME Group",CME,"United States","North America",2017,09,2017-09,318,1812
"Dubai Crude Oil (Platts)",Future,Energy,"Dubai Mercantile Exchange","Dubai Mercantile Exchange",DME,"United Arab Emirates",Asia,2017,09,2017-09,300,11750
"Dubai Crude Oil (Platts) Average Price (AH)",Option,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,150
"Dubai Crude Oil (Platts) Financial (DC)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,7870
"Dubai India Crude Oil Quanto",Future,Energy,"Dubai Gold & Commodities Exchange","Dubai Gold & Commodities Exchange",DGCX,"United Arab Emirates",Asia,2017,09,2017-09,77,0
"Dutch Power",Future,Energy,"ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,17790,42641
"Dutch TTF Gas",Future,Energy,"ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,697976,613779
"Dutch TTF Gas",Option,Energy,"ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,60060,240640
"Dutch TTF Natural Gas (USD per MMBTU) (ICIS Heren) Front Month (TTE)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,410,8
"E-Micro AUD/USD",Future,Currencies,"Chicago Mercantile Exchange","CME Group",CME,"United States","North America",2017,09,2017-09,98832,1634
"E-Micro EUR/USD",Future,Currencies,"Chicago Mercantile Exchange","CME Group",CME,"United States","North America",2017,09,2017-09,279760,5156
"E-Micro GBP/USD",Future,Currencies,"Chicago Mercantile Exchange","CME Group",CME,"United States","North America",2017,09,2017-09,61737,2332
"E-Micro Gold (MGC)",Future,Metals,"Commodity Exchange (COMEX)","CME Group",COMEX,"United States","North America",2017,09,2017-09,126540,6945
"E-Micro INR/USD",Future,Currencies,"Chicago Mercantile Exchange","CME Group",CME,"United States","North America",2017,09,2017-09,2863,289
"E-mini $5 DJIA",Future,Equity,"Chicago Board of Trade","CME Group",CBOT,"United States","North America",2017,09,2017-09,2672116,156979
"E-mini Copper (QC)",Future,Metals,"Commodity Exchange (COMEX)","CME Group",COMEX,"United States","North America",2017,09,2017-09,401,269
"E-mini Crude Oil (QM)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,245647,4212
"E-mini Euro FX",Future,Currencies,"Chicago Mercantile Exchange","CME Group",CME,"United States","North America",2017,09,2017-09,134483,12072
"E-mini FTSE 100 Index",Future,Equity,"Chicago Mercantile Exchange","CME Group",CME,"United States","North America",2017,09,2017-09,2663,337
"E-mini Japanese Yen",Future,Currencies,"Chicago Mercantile Exchange","CME Group",CME,"United States","North America",2017,09,2017-09,17909,1000
"E-mini Nasdaq 100",Future,Equity,"Chicago Mercantile Exchange","CME Group",CME,"United States","North America",2017,09,2017-09,6785352,267207
"E-mini Nasdaq 100",Option,Equity,"Chicago Mercantile Exchange","CME Group",CME,"United States","North America",2017,09,2017-09,230746,65175
"E-mini Natural Gas (QG)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,17406,1118
"E-mini NY Harbor ULSD (QH)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,4,0
"E-mini RBOB Gasoline (QU)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,4,0
"E-mini Russell 1000 Growth Index",Future,Equity,"Chicago Mercantile Exchange","CME Group",CME,"United States","North America",2017,09,2017-09,9659,4174
"E-mini Russell 1000 Index",Future,Equity,"Chicago Mercantile Exchange","CME Group",CME,"United States","North America",2017,09,2017-09,18365,8436
"E-mini Russell 1000 Value Index",Future,Equity,"Chicago Mercantile Exchange","CME Group",CME,"United States","North America",2017,09,2017-09,33092,12099
"E-mini Russell 2000 Index",Future,Equity,"Chicago Mercantile Exchange","CME Group",CME,"United States","North America",2017,09,2017-09,3146541,531354
"E-mini Russell 2000 Index",Option,Equity,"Chicago Mercantile Exchange","CME Group",CME,"United States","North America",2017,09,2017-09,10761,1423
"E-mini Russell 2000 Index (Weekly)",Option,Equity,"Chicago Mercantile Exchange","CME Group",CME,"United States","North America",2017,09,2017-09,25403,13442
"E-mini S&P 500",Future,Equity,B3,B3,B3,Brazil,"Latin America",2017,09,2017-09,11367,5594
"E-mini S&P 500",Future,Equity,"Chicago Mercantile Exchange","CME Group",CME,"United States","North America",2017,09,2017-09,33472914,2987626
"E-mini S&P 500",Option,Equity,"Chicago Mercantile Exchange","CME Group",CME,"United States","North America",2017,09,2017-09,4585072,1339395
"E-mini S&P 500 Rollover",Future,Equity,B3,B3,B3,Brazil,"Latin America",2017,09,2017-09,9010,0
"E-mini S&P Consumer Discretionary Sector",Future,Equity,"Chicago Mercantile Exchange","CME Group",CME,"United States","North America",2017,09,2017-09,10215,3644
"E-mini S&P Consumer Staples Sector",Future,Equity,"Chicago Mercantile Exchange","CME Group",CME,"United States","North America",2017,09,2017-09,61377,20449
"E-mini S&P Energy Sector",Future,Equity,"Chicago Mercantile Exchange","CME Group",CME,"United States","North America",2017,09,2017-09,35317,11338
"E-mini S&P Financial Sector",Future,Equity,"Chicago Mercantile Exchange","CME Group",CME,"United States","North America",2017,09,2017-09,67597,28018
"E-mini S&P Health Care Sector",Future,Equity,"Chicago Mercantile Exchange","CME Group",CME,"United States","North America",2017,09,2017-09,28128,8866
"E-mini S&P Industrial Sector",Future,Equity,"Chicago Mercantile Exchange","CME Group",CME,"United States","North America",2017,09,2017-09,14044,4717
"E-mini S&P Materials Sector",Future,Equity,"Chicago Mercantile Exchange","CME Group",CME,"United States","North America",2017,09,2017-09,18664,5245
"E-mini S&P Midcap 400",Future,Equity,"Chicago Mercantile Exchange","CME Group",CME,"United States","North America",2017,09,2017-09,431674,89507
"E-mini S&P Real Estate Select Sector",Future,Equity,"Chicago Mercantile Exchange","CME Group",CME,"United States","North America",2017,09,2017-09,14821,5449
