Standardized_Contract,Contract_Type,Group_Name,Exchange_Name,Parent_Name,Abbreviated_Name,Country,Region,Year,Month,Report_Year_Month,Volume,Open_Interest
"Turkish Lira/Rand",Future,Currencies,"JSE Securities Exchange","JSE Securities Exchange",JSE,"South Africa",Other,2017,09,2017-09,18650,18650
"Turkish Lira/US Dollar",Future,Currencies,"ICE Futures U.S.","Intercontinental Exchange",IFUS,"United States","North America",2017,09,2017-09,18682,4088
Turmeric,Future,Agriculture,"National Commodity & Derivatives Exchange","National Commodity & Derivatives Exchange",NCDEX,India,Asia,2017,09,2017-09,26253,2508
"UK Electricity Peak",Future,Energy,"ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,1175,8045
"UK Feed Wheat",Future,Agriculture,"ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,6541,8651
"UK Feed Wheat",Option,Agriculture,"ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,6,651
"UK NBP Natural Gas (USD per MMBTU) (ICIS Heren) Front Month (NBP)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,405,18
"UK Power Base (Day) Deferred Settlement",Future,Energy,"Nasdaq Commodities",Nasdaq,NOC,Sweden,Europe,2017,09,2017-09,550,0
"UK Power Base (Month)",Future,Energy,"Nasdaq Commodities",Nasdaq,NOC,Sweden,Europe,2017,09,2017-09,0,3
"UK Power Base (Year)",Future,Energy,"Nasdaq Commodities",Nasdaq,NOC,Sweden,Europe,2017,09,2017-09,0,1
"ULSD 10 PPM Cargoes CIF NWE (Platts) vs. Low Sulphur Gasoil (TP)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,120,801
"ULSD 10 PPM CIF MED (Platts) vs. Low Sulphur Gasoil (Z7)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,54
"Ultra 10 Year Treasury Note",Future,"Interest Rates","Chicago Board of Trade","CME Group",CBOT,"United States","North America",2017,09,2017-09,2322092,439884
"Ultra Treasury Bond",Future,"Interest Rates","Chicago Board of Trade","CME Group",CBOT,"United States","North America",2017,09,2017-09,2242724,816810
"Ultra Treasury Bond",Option,"Interest Rates","Chicago Board of Trade","CME Group",CBOT,"United States","North America",2017,09,2017-09,4118,2083
"US 500",Option,Equity,"North American Derivative Exchange","North American Derivative Exchange",NADEX,"United States","North America",2017,09,2017-09,92397,NULL
"US Corn",Future,Agriculture,"ICE Futures U.S.","Intercontinental Exchange",IFUS,"United States","North America",2017,09,2017-09,5,1
"US Dollar",Future,Currencies,B3,B3,B3,Brazil,"Latin America",2017,09,2017-09,6280475,1071489
